time,latitude,GPS Speed,longitude,Gyro Y,GY MA
0,36.91392,14.5,-76.30679,0.040317107,0.014080443
1.686,36.91392,14.5,-76.30679,-0.0711658,0.010018189
1.821,36.90566,14,-76.30488,-0.025350908,0.009712756
1.906,36.90566,14,-76.30488,-0.025350908,0.007116578
1.996,36.90566,14,-76.30488,-0.002748894,0.009834929
2.081,36.90566,14,-76.30488,-0.002748894,0.011423178
2.166,36.90566,14,-76.30488,-0.01282817,0.010995573
2.246,36.90566,14,-76.30488,-0.01282817,0.011071931
2.336,36.90566,14,-76.30488,0.06352998,0.010995573
2.446,36.905533,14.25,-76.30484,0.06352998,0.008323037
2.536,36.905533,14.25,-76.30484,0.010995574,0.005650502
2.616,36.905533,14.25,-76.30484,0.010995574,0.005604687
2.706,36.905533,14.25,-76.30484,0.003054326,0.003466659
2.796,36.905533,14.25,-76.30484,0.003054326,0.001725693
2.876,36.905533,14.25,-76.30484,-0.0290161,-0.001618794
2.966,36.905533,14.25,-76.30484,-0.0290161,-0.00335976
3.056,36.905533,14.25,-76.30484,0.112704635,-0.002932154
3.136,36.905533,14.25,-76.30484,0.112704635,-0.009590585
3.222,36.905533,14.25,-76.30484,0.112704635,-0.018417588
3.306,36.905533,14.25,-76.30484,-0.040927973,-0.027244591
3.386,36.905533,14.25,-76.30484,-0.040927973,-0.022724188
3.482,36.905533,14.25,-76.30484,-0.07727446,-0.018203785
3.566,36.905533,14.25,-76.30484,-0.07727446,-0.017638734
3.646,36.905533,14.25,-76.30484,0.0290161,-0.017073684
3.742,36.905533,14.25,-76.30484,0.0290161,-0.021823161
3.826,36.905533,14.25,-76.30484,-0.011301007,-0.026878071
3.906,36.905533,14.25,-76.30484,-0.011301007,-0.028527407
4.046,36.905403,14.75,-76.30481,-0.014355334,-0.030176743
4.126,36.905403,14.75,-76.30481,0.010079277,-0.032528574
4.206,36.905403,14.75,-76.30481,0.010079277,-0.036102136
4.286,36.905403,14.75,-76.30481,0.010079277,-0.039675698
4.371,36.905403,14.75,-76.30481,-0.03176499,-0.042730024
4.466,36.90527,15.25,-76.30477,-0.03176499,-0.043692137
4.546,36.90527,15.25,-76.30477,-0.06383542,-0.039614612
4.631,36.90527,15.25,-76.30477,-0.06383542,-0.033933565
4.716,36.90527,15.25,-76.30477,-0.020463986,-0.032345315
4.796,36.90527,15.25,-76.30477,-0.020463986,-0.037430768
4.886,36.90527,15.25,-76.30477,-0.06383542,-0.042516222
4.966,36.90527,15.25,-76.30477,-0.06383542,-0.045433103
5.05,36.90527,15.25,-76.30477,0.049480084,-0.040210205
5.136,36.90527,15.25,-76.30477,0.049480084,-0.040653082
5.216,36.90527,15.25,-76.30477,-0.065973446,-0.041095959
5.306,36.90527,15.25,-76.30477,-0.065973446,-0.03576616
5.386,36.90527,15.25,-76.30477,-0.065973446,-0.03604105
5.486,36.90513,15.75,-76.30473,-0.0720821,-0.03631594
5.576,36.90513,15.75,-76.30473,-0.04428773,-0.036590829
5.666,36.90513,15.75,-76.30473,-0.04428773,-0.038255437
5.746,36.90513,15.75,-76.30473,-0.061391957,-0.034315356
5.83,36.90513,15.75,-76.30473,-0.061391957,-0.029520064
5.916,36.90513,15.75,-76.30473,-0.061391957,-0.027198776
5.996,36.90513,15.75,-76.30473,-0.05100725,-0.024877488
6.086,36.90513,15.75,-76.30473,-0.05100725,-0.026374107
6.166,36.90513,15.75,-76.30473,0.049785517,-0.027870727
6.256,36.90513,15.75,-76.30473,0.049785517,-0.032528574
6.346,36.90513,15.75,-76.30473,-0.032070424,-0.037186421
6.466,36.904987,16.25,-76.3047,-0.12217305,-0.039278635
6.556,36.904987,16.25,-76.3047,-0.12217305,-0.036865717
6.646,36.904987,16.25,-76.3047,-0.12217305,-0.035842517
6.726,36.904987,16.25,-76.3047,0.04062254,-0.034819318
6.816,36.904987,16.25,-76.3047,0.04062254,-0.038988473
6.896,36.904987,16.25,-76.3047,0.04062254,-0.043157628
6.976,36.904987,16.25,-76.3047,0.04062254,-0.045784349
7.066,36.904987,16.25,-76.3047,-0.07147124,-0.04841107
7.146,36.904987,16.25,-76.3047,-0.07147124,-0.045433101
7.236,36.904987,16.25,-76.3047,-0.077579886,-0.044929137
7.326,36.904987,16.25,-76.3047,-0.077579886,-0.044119741
7.441,36.90484,16.5,-76.304665,0.034513887,-0.043814308
7.526,36.90484,16.5,-76.304665,0.034513887,-0.049113565
7.606,36.90484,16.5,-76.304665,-0.014966198,-0.050930889
7.696,36.90484,16.5,-76.304665,-0.014966198,-0.050274209
7.786,36.90484,16.5,-76.304665,-0.08093964,-0.047846019
7.866,36.90484,16.5,-76.304665,-0.08093964,-0.042119158
7.961,36.90484,16.5,-76.304665,-0.04337143,-0.034345898
8.046,36.90484,16.5,-76.304665,-0.04337143,-0.028451048
8.126,36.90484,16.5,-76.304665,-0.07391469,-0.024297165
8.216,36.90484,16.5,-76.304665,-0.07391469,-0.018616118
8.296,36.90484,16.5,-76.304665,-0.10170906,-0.011255192
8.381,36.90484,16.5,-76.304665,-0.10170906,-0.002504548
8.466,36.904686,17,-76.30464,-0.042760566,0.001832595
8.546,36.904686,17,-76.30464,-0.042760566,0.003222313
8.636,36.904686,17,-76.30464,-0.011911872,0.006154467
8.726,36.904686,17,-76.30464,-0.011911872,0.007544185
8.806,36.904686,17,-76.30464,-0.011911872,0.012354749
8.896,36.904686,17,-76.30464,-0.061391957,0.017165312
8.966,36.904686,17,-76.30464,-0.061391957,0.026129759
9.056,36.904686,17,-76.30464,-0.07147124,0.035094207
9.146,36.904686,17,-76.30464,-0.07147124,0.044562618
9.226,36.904686,17,-76.30464,-0.001832596,0.047525315
9.316,36.904686,17,-76.30464,-0.001832596,0.04700608
9.436,36.904686,17,-76.30464,0.03359759,0.045310928
9.521,36.90453,17.5,-76.30462,0.03359759,0.041844268
9.606,36.90453,17.5,-76.30462,0.07452556,0.04111123
9.686,36.90453,17.5,-76.30462,0.07452556,0.038331793
9.776,36.90453,17.5,-76.30462,0.03970624,0.0388663
9.856,36.90453,17.5,-76.30462,0.03970624,0.041141773
9.941,36.90453,17.5,-76.30462,0.073303826,0.036453382
10.026,36.90453,17.5,-76.30462,0.073303826,0.030085112
10.106,36.90453,17.5,-76.30462,-0.014966198,0.025534166
10.196,36.90453,17.5,-76.30462,-0.014966198,0.025396721
10.276,36.90453,17.5,-76.30462,0.015882496,0.027229317
10.36,36.90453,17.5,-76.30462,0.015882496,0.027519478
10.446,36.904377,17.75,-76.30459,0.0842994,0.027519478
10.526,36.904377,17.75,-76.30459,0.0842994,0.024098633
10.616,36.904377,17.75,-76.30459,0.11789699,0.018936822
10.696,36.904377,17.75,-76.30459,0.11789699,0.012095131
10.776,36.904377,17.75,-76.30459,0.11789699,0.005574145
10.866,36.904377,17.75,-76.30459,-0.012217305,-0.000946842
10.946,36.904377,17.75,-76.30459,-0.012217305,-0.002351832
11.036,36.904377,17.75,-76.30459,-0.03573562,-0.003756822
11.136,36.904377,17.75,-76.30459,-0.03573562,-0.003985896
11.216,36.904377,17.75,-76.30459,0.018936822,-0.003161228
11.296,36.904377,17.75,-76.30459,0.018936822,-0.005070182
11.386,36.904377,17.75,-76.30459,0.0852157,-0.005971208
11.466,36.904213,18,-76.30456,0.0852157,-0.010186178
11.551,36.904213,18,-76.30456,-0.054061573,-0.017211128
11.636,36.904213,18,-76.30456,-0.054061573,-0.017272215
11.716,36.904213,18,-76.30456,-0.017715093,-0.013698653
11.812,36.904213,18,-76.30456,-0.017715093,-0.011942416
11.896,36.904213,18,-76.30456,0.021685716,-0.010644327
11.976,36.904213,18,-76.30456,0.021685716,-0.011316279
12.066,36.904213,18,-76.30456,0.015882496,-0.012034045
12.156,36.904213,18,-76.30456,0.015882496,-0.012461651
12.236,36.904213,18,-76.30456,-0.018936822,-0.013041973
12.332,36.904213,18,-76.30456,-0.018936822,-0.011881329
12.436,36.904057,18,-76.30451,-0.012522738,-0.012415836
12.526,36.904057,18,-76.30451,-0.012522738,-0.013271047
12.596,36.904057,18,-76.30451,-0.040317107,-0.014126259
12.686,36.904057,18,-76.30451,-0.040317107,-0.011270464
12.766,36.904057,18,-76.30451,-0.040317107,-0.008414669
12.852,36.904057,18,-76.30451,-0.019242255,-0.004886922
12.936,36.904057,18,-76.30451,-0.019242255,-0.002412917
13.016,36.904057,18,-76.30451,9.16E-04,-0.003848451
13.106,36.904057,18,-76.30451,9.16E-04,-0.006291912
13.186,36.904057,18,-76.30451,-0.055283304,-0.007941248
13.271,36.904057,18,-76.30451,-0.055283304,-0.006780604
13.356,36.904057,18,-76.30451,0.01740966,-0.005283984
13.446,36.9039,18,-76.304474,0.01740966,-0.007422012
13.531,36.9039,18,-76.304474,0.008246681,-0.012018773
13.616,36.9039,18,-76.304474,0.008246681,-0.016157385
13.696,36.9039,18,-76.304474,0.007330383,-0.019456058
13.786,36.9039,18,-76.304474,0.007330383,-0.022708915
13.866,36.9039,18,-76.304474,0.004276057,-0.026878071
13.951,36.9039,18,-76.304474,0.004276057,-0.03089451
14.036,36.9039,18,-76.304474,-0.029626964,-0.035430184
14.116,36.9039,18,-76.304474,-0.029626964,-0.038270708
14.206,36.9039,18,-76.304474,-0.029626964,-0.041111231
14.286,36.9039,18,-76.304474,0.016798794,-0.043844853
14.366,36.9039,18,-76.304474,0.016798794,-0.048899763
14.471,36.903748,18,-76.304436,0.03023783,-0.052015176
14.566,36.903748,18,-76.304436,0.03023783,-0.05580254
14.646,36.903748,18,-76.304436,-0.04795292,-0.059116484
14.731,36.903748,18,-76.304436,-0.04795292,-0.058520891
14.816,36.903748,18,-76.304436,-0.032070424,-0.05870415
14.886,36.903748,18,-76.304436,-0.032070424,-0.059681535
14.976,36.903748,18,-76.304436,-0.025350908,-0.060582561
15.056,36.903748,18,-76.304436,-0.025350908,-0.061819563
15.146,36.903748,18,-76.304436,-0.07452556,-0.060506203
15.236,36.903748,18,-76.304436,-0.07452556,-0.05673411
15.316,36.903748,18,-76.304436,-0.057726767,-0.050869804
15.406,36.903748,18,-76.304436,-0.057726767,-0.045845437
15.496,36.903587,18,-76.30439,-0.076052725,-0.040026945
15.576,36.903587,18,-76.30439,-0.076052725,-0.033292156
15.666,36.903587,18,-76.30439,-0.086437434,-0.027641652
15.746,36.903587,18,-76.30439,-0.086437434,-0.021471913
15.826,36.903587,18,-76.30439,-0.086437434,-0.015790866
15.926,36.903587,18,-76.30439,-0.0842994,-0.01010982
16.006,36.903587,18,-76.30439,-0.0842994,-0.002626721
16.086,36.903587,18,-76.30439,-0.04550946,0.004856378
16.176,36.903587,18,-76.30439,-0.04550946,0.007315111
16.256,36.903587,18,-76.30439,-0.03604105,0.009773844
16.341,36.903587,18,-76.30439,-0.03604105,0.012034045
16.45,36.903423,18,-76.30436,-0.051618114,0.014294246
16.536,36.903423,18,-76.30436,-0.051618114,0.016417003
16.616,36.903423,18,-76.30436,-0.05009095,0.01853976
16.706,36.903423,18,-76.30436,-0.05009095,0.020555615
16.786,36.903423,18,-76.30436,9.16E-04,0.019517144
16.866,36.903423,18,-76.30436,9.16E-04,0.0193797
16.956,36.903423,18,-76.30436,0.042760566,0.019242255
17.036,36.903423,18,-76.30436,0.042760566,0.0183565
17.122,36.903423,18,-76.30436,0.058643065,0.017470746
17.206,36.903423,18,-76.30436,0.058643065,0.014019357
17.286,36.903423,18,-76.30436,0.036957346,0.010567968
17.382,36.903423,18,-76.30436,0.036957346,0.007345654
17.546,36.903263,18,-76.30434,0.027183503,0.00412334
17.636,36.903263,18,-76.30434,0.027183503,0.000152716
17.716,36.903263,18,-76.30434,0.06536258,-0.003817908
17.801,36.903263,18,-76.30434,0.06536258,-0.003863723
17.886,36.903263,18,-76.30434,0.003665192,-0.003909538
17.976,36.903263,18,-76.30434,0.003665192,-0.000870483
18.061,36.903263,18,-76.30434,0.009162978,-0.000458149
18.146,36.903263,18,-76.30434,0.009162978,-0.000320704
18.22,36.903263,18,-76.30434,-0.009162978,-0.003008511
18.306,36.903263,18,-76.30434,-0.009162978,-0.004780021
18.386,36.903263,18,-76.30434,-0.009773844,-0.00308487
18.676,36.903107,18,-76.304306,-0.07086037,-0.002855795
18.756,36.903107,18,-76.304306,-0.001832596,0.000427606
18.841,36.903107,18,-76.304306,-0.001832596,0.000259618
18.926,36.903107,18,-76.304306,0.025045475,0.002764165
19.006,36.903107,18,-76.304306,0.025045475,0.003924809
19.096,36.903107,18,-76.304306,-0.01038471,0.002519819
19.176,36.903107,18,-76.304306,-0.01038471,0.002886338
19.261,36.903107,18,-76.304306,-0.027488936,0.00206167
19.346,36.903107,18,-76.304306,-0.027488936,0.002092213
19.626,36.902943,18,-76.30427,-0.05222898,0.000213803
19.716,36.902943,18,-76.30427,-0.05222898,-0.000427606
19.806,36.902943,18,-76.30427,0.064446285,0.000152716
19.886,36.902943,18,-76.30427,0.064446285,-0.005100725
19.976,36.902943,18,-76.30427,0.064446285,-0.011484267
20.056,36.902943,18,-76.30427,0.011911872,-0.017867809
20.141,36.902943,18,-76.30427,0.011911872,-0.018051069
20.226,36.902943,18,-76.30427,-0.044593163,-0.018234328
20.316,36.902943,18,-76.30427,-0.044593163,-0.015592336
20.426,36.902782,18,-76.30423,0.024740042,-0.011224649
20.516,36.902782,18,-76.30423,-0.005192355,-0.010323623
20.606,36.902782,18,-76.30423,-0.005192355,-0.009224066
20.686,36.902782,18,-76.30423,-0.005192355,-0.008124508
20.771,36.902782,18,-76.30423,0.048258353,-0.008872818
20.856,36.902782,18,-76.30423,0.048258353,-0.012293664
20.936,36.902782,18,-76.30423,-0.003054326,-0.014645495
21.026,36.902782,18,-76.30423,-0.003054326,-0.014431692
21.106,36.902782,18,-76.30423,-0.02687807,-0.011194106
21.196,36.902782,18,-76.30423,-0.02687807,-0.006765333
21.286,36.902782,18,-76.30423,-0.06505715,-0.002672536
21.366,36.902782,18,-76.30423,-0.06505715,0.003329215
21.446,36.902626,18,-76.3042,-0.04062254,0.006139195
21.536,36.902626,18,-76.3042,-0.04062254,0.007727445
21.616,36.902626,18,-76.3042,-0.063224554,0.015271631
21.702,36.902626,18,-76.3042,-0.063224554,0.023945918
21.786,36.902626,18,-76.3042,0.008246681,0.03211624
21.866,36.902626,18,-76.3042,0.008246681,0.036713001
21.956,36.902626,18,-76.3042,0.008246681,0.040042217
22.036,36.902626,18,-76.3042,0.042760566,0.043371433
22.121,36.902626,18,-76.3042,0.042760566,0.042058072
22.206,36.902626,18,-76.3042,0.016798794,0.040744712
22.286,36.902626,18,-76.3042,0.016798794,0.04072944
22.381,36.902626,18,-76.3042,-0.020158553,0.039141191
22.476,36.90247,18,-76.30415,-0.020158553,0.039400809
22.556,36.90247,18,-76.30415,0.001221731,0.040194933
22.641,36.90247,18,-76.30415,0.001221731,0.039920044
22.726,36.90247,18,-76.30415,0.06169739,0.033200526
22.806,36.90247,18,-76.30415,0.06169739,0.026618453
22.896,36.90247,18,-76.30415,0.05497787,0.02003638
22.976,36.90247,18,-76.30415,0.05497787,0.013912457
23.061,36.90247,18,-76.30415,-0.008857546,0.007788533
23.146,36.90247,18,-76.30415,-0.008857546,0.004917466
23.226,36.90247,18,-76.30415,0.11026118,0.002046399
23.316,36.90247,18,-76.30415,0.11026118,-0.008765916
23.421,36.90247,18,-76.30415,0.1001819,-0.019578231
23.516,36.90231,18,-76.304115,0.1001819,-0.027290404
23.596,36.90231,18,-76.304115,0.074830994,-0.035002578
23.681,36.90231,18,-76.304115,0.074830994,-0.041447206
23.766,36.90231,18,-76.304115,0.016493361,-0.047479501
23.846,36.90231,18,-76.304115,0.016493361,-0.051572298
23.936,36.90231,18,-76.304115,0.016493361,-0.055665095
24.016,36.90231,18,-76.304115,-0.014966198,-0.056703566
24.101,36.90231,18,-76.304115,-0.014966198,-0.056169059
24.186,36.90231,18,-76.304115,-0.004276057,-0.055634552
24.266,36.90231,18,-76.304115,-0.004276057,-0.057085356
24.356,36.90231,18,-76.304115,-0.13316862,-0.058536161
24.536,36.90215,17.75,-76.304054,-0.06994407,-0.053985215
24.621,36.90215,17.75,-76.304054,-0.06994407,-0.052595497
24.706,36.90215,17.75,-76.304054,-0.067500606,-0.04841107
24.786,36.90215,17.75,-76.304054,-0.067500606,-0.044348816
24.876,36.90215,17.75,-76.304054,-0.06627888,-0.04156938
24.956,36.90215,17.75,-76.304054,-0.06627888,-0.038851029
25.04,36.90215,17.75,-76.304054,-0.10598512,-0.036713001
25.126,36.90215,17.75,-76.304054,-0.10598512,-0.032589661
25.216,36.90215,17.75,-76.304054,-0.054061573,-0.027885998
25.3,36.90215,17.75,-76.304054,-0.054061573,-0.025778513
25.386,36.90215,17.75,-76.304054,-0.054061573,-0.024022276
25.496,36.901993,17.75,-76.30401,-0.045814894,-0.022266038
25.576,36.901993,17.75,-76.30401,-0.06536258,-0.020754146
25.661,36.901993,17.75,-76.30401,-0.06536258,-0.018264871
25.746,36.901993,17.75,-76.30401,-0.004276057,-0.014355333
25.826,36.901993,17.75,-76.30401,-0.004276057,-0.013500122
25.916,36.901993,17.75,-76.30401,-0.004276057,-0.014004086
25.996,36.901993,17.75,-76.30401,-0.033292156,-0.014508049
26.081,36.901993,17.75,-76.30401,-0.033292156,-0.013561208
