time,dt,,TimeStamp,latitude,GPS Speed,longitude,,OBD Speed,Acc X,Acc Y,Acc Z,Linear X,Linear Y,Linear Z,Gravity X,Gravity Y,Gravity Z,Compass X,Compass Y,Compass Z,Gyro X,Gyro Y-Avg,Gyro Y,Gyro Z,Ori X,Ori Y,Ori Z,OBD1,OBD2,OBD3,OBD4,OBD5
1.686,1.38E+14,1.45E+12,36.91392,14.5,-76.30679,-32,0,-0.008978256,9.706094,-0.8571242,-0.044921238,-0.075154305,-1.5615947,0.035942983,9.781248,0.70447046,-0.253,0.436,17.102,9.16E-04,0.014080443,0.040317107,-0.023518313,175.02902,-85.87517,0.21054286,155,0,0,0,0
1.686,0.135,1.38E+14,1.45E+12,36.91392,14.5,-76.30679,-32,0,0.077811554,10.53329,-0.6171055,0.005138613,0.7568798,-1.3832185,0.07267294,9.77641,0.766113,2.166,0.413,15.214,-0.054367006,0.010018189,-0.0711658,-0.015577064,181.12488,-85.49928,0.4259003,155,0,0,0,0
1.821,0.085,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.6536171,9.433155,-0.50757074,-0.91317034,-0.34818268,-1.162133,0.25955322,9.781338,0.65456223,-1.165,-0.477,14.749,-0.025350908,0.009712756,-0.025350908,-0.03176499,180.42268,-85.882484,1.5200186,168.3,0,0,0,0
1.906,0.09,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.6536171,9.433155,-0.50757074,-0.91317034,-0.34818268,-1.162133,0.25955322,9.781338,0.65456223,-1.382,-0.566,15.499,-0.025350908,0.007116578,-0.025350908,-0.03176499,180.42268,-85.882484,1.5200186,168.3,0,0,0,0
1.996,0.085,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.39983168,10.281301,0.45549688,-0.6452539,0.496212,-0.14632395,0.24542224,9.785089,0.6018208,-1.17,-0.871,15.499,0.013439035,0.009834929,-0.002748894,-0.03756821,173.25458,-86.19986,1.4367485,168.3,0,0,0,0
2.081,0.085,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.39983168,10.281301,0.45549688,-0.6452539,0.496212,-0.14632395,0.24542224,9.785089,0.6018208,-1.553,-0.871,16.2,0.013439035,0.011423178,-0.002748894,-0.03756821,173.25458,-86.19986,1.4367485,168.3,0,0,0,0
2.166,0.08,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.79008657,9.490616,-0.61770403,-0.9825476,-0.29450035,-1.2380793,0.192461,9.785116,0.6203753,-1.553,-1.185,16.2,-0.039095376,0.010995573,-0.01282817,-0.055588737,173.47409,-86.20234,1.126791,168.3,0,0,0,0
2.246,0.09,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,-0.79008657,9.490616,-0.61770403,-0.9825476,-0.29450035,-1.2380793,0.192461,9.785116,0.6203753,-1.553,-1.565,16.928,-0.039095376,0.011071931,-0.01282817,-0.055588737,173.47409,-86.20234,1.126791,168.3,0,0,0,0
2.336,0.11,1.38E+14,1.45E+12,36.90566,14,-76.30488,-25,0,0.789488,9.147048,0.58777654,0.5764697,-0.63759995,-0.03325051,0.21301828,9.784648,0.62102705,-0.74,-1.565,18.8,-0.01282817,0.010995573,0.06352998,-0.03359759,174.23354,-86.1612,1.2471702,168.3,0,0,0,0
2.446,0.09,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.789488,9.147048,0.58777654,0.5764697,-0.63759995,-0.03325051,0.21301828,9.784648,0.62102705,-0.367,-0.23,19.386,-0.01282817,0.008323037,0.06352998,-0.03359759,174.23354,-86.1612,1.2471702,168,0,0,0,0
2.536,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.17238252,11.192294,0.20590134,-0.052407622,1.4063883,-0.3906904,0.22479014,9.785906,0.5965917,-0.047,0.222,20.303,-0.00702495,0.005650502,0.010995574,-0.03145956,177.22966,-86.27259,1.3158988,168,0,0,0,0
2.616,0.09,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.17238252,11.192294,0.20590134,-0.052407622,1.4063883,-0.3906904,0.22479014,9.785906,0.5965917,0.35,1.521,20.303,-0.00702495,0.005604687,0.010995574,-0.03145956,177.22966,-86.27259,1.3158988,168,0,0,0,0
2.706,0.09,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.4961983,10.571598,0.521936,-0.6952394,0.7779732,0.057498872,0.19904113,9.793625,0.46443713,0.35,1.521,20.303,0.05955936,0.003466659,0.003054326,-0.0421497,179.12817,-87.04666,1.1642927,168,0,0,0,0
2.796,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.4961983,10.571598,0.521936,-0.6952394,0.7779732,0.057498872,0.19904113,9.793625,0.46443713,1.031,3.207,20.303,0.05955936,0.001725693,0.003054326,-0.0421497,179.12817,-87.04666,1.1642927,168,0,0,0,0
2.876,0.09,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-1.4568717,9.597756,-0.7188591,-1.5851644,-0.19467545,-1.2309237,0.12829265,9.792432,0.5120646,1.766,3.952,20.303,-0.05589417,-0.001618794,-0.0290161,-0.056199603,183.02368,-86.914345,0.75060076,168,0,0,0,0
2.966,0.09,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-1.4568717,9.597756,-0.7188591,-1.5851644,-0.19467545,-1.2309237,0.12829265,9.792432,0.5120646,2.482,3.952,18.476,-0.05589417,-0.00335976,-0.0290161,-0.056199603,183.02368,-86.914345,0.75060076,168,0,0,0,0
3.056,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,1.5382746,9.759963,0.2621651,1.3832257,-0.029379845,-0.29918167,0.15504892,9.789343,0.56134677,2.925,4.278,16.532,-0.043676864,-0.002932154,0.112704635,-0.040927973,185.96445,-86.595505,0.9074058,168,0,0,0,0
3.136,0.086,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,1.5382746,9.759963,0.2621651,1.3832257,-0.029379845,-0.29918167,0.15504892,9.789343,0.56134677,3.244,1.823,18.194,-0.043676864,-0.009590585,0.112704635,-0.040927973,185.96445,-86.595505,0.9074058,168,0,0,0,0
3.222,0.084,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,1.5382746,9.759963,0.2621651,1.3832257,-0.029379845,-0.29918167,0.15504892,9.789343,0.56134677,3.614,2.755,17.547,-0.043676864,-0.018417588,0.112704635,-0.040927973,185.96445,-86.595505,0.9074058,168,0,0,0,0
3.306,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.079008654,9.540894,-0.20231004,-0.08576654,-0.25205708,-0.693582,0.1647752,9.792951,0.49127194,3.923,3.569,18.023,0.015577064,-0.027244591,-0.040927973,-0.03573562,190.26701,-86.971146,0.963962,168,0,0,0,0
3.386,0.096,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.079008654,9.540894,-0.20231004,-0.08576654,-0.25205708,-0.693582,0.1647752,9.792951,0.49127194,3.923,3.233,17.529,0.015577064,-0.022724188,-0.040927973,-0.03573562,190.26701,-86.971146,0.963962,168,0,0,0,0
3.482,0.084,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.6913257,9.677961,-0.99658644,-0.8135086,-0.120396614,-1.3808383,0.122182906,9.798358,0.38425183,3.923,4.118,17.835,0.026572637,-0.018203785,-0.07727446,-0.054367006,192.344,-87.643654,0.714426,168,0,0,0,0
3.566,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.6913257,9.677961,-0.99658644,-0.8135086,-0.120396614,-1.3808383,0.122182906,9.798358,0.38425183,3.532,4.118,17.835,0.026572637,-0.017638734,-0.07727446,-0.054367006,192.344,-87.643654,0.714426,168,0,0,0,0
3.646,0.096,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.130484,8.797494,-0.7080852,-0.24117476,-1.0029192,-1.0397832,0.110690765,9.800413,0.33169806,2.427,4.118,17.835,0.003359759,-0.017073684,0.0290161,-0.0421497,190.32109,-87.95646,0.6470997,168,0,0,0,0
3.742,0.084,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,-0.130484,8.797494,-0.7080852,-0.24117476,-1.0029192,-1.0397832,0.110690765,9.800413,0.33169806,2.102,4.118,17.477,0.003359759,-0.021823161,0.0290161,-0.0421497,190.32109,-87.95646,0.6470997,168,0,0,0,0
3.826,0.08,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.17298107,10.038289,0.51954174,0.038741663,0.23777676,0.19969195,0.1342394,9.800512,0.3198498,1.684,3.816,17.477,-0.00580322,-0.026878071,-0.011301007,-0.027794369,186.45258,-87.97281,0.78474164,168,0,0,0,0
3.906,0.14,1.38E+14,1.45E+12,36.905533,14.25,-76.30484,-25,0,0.17298107,10.038289,0.51954174,0.038741663,0.23777676,0.19969195,0.1342394,9.800512,0.3198498,1.684,3.816,17.779,-0.00580322,-0.028527407,-0.011301007,-0.027794369,186.45258,-87.97281,0.78474164,168,0,0,0,0
4.046,0.08,1.38E+14,1.45E+12,36.905403,14.75,-76.30481,-25,0,0.40282443,9.482236,-1.168969,0.24974768,-0.3172388,-1.5114369,0.15307675,9.799475,0.34246787,1.684,3.816,17.779,-0.04642576,-0.030176743,-0.014355334,-0.034208454,184.35593,-87.80804,0.89493966,167.8,0,0,0,0
4.126,0.08,1.38E+14,1.45E+12,36.905403,14.75,-76.30481,-25,0,0.61890113,9.518148,0.92895025,0.4701082,-0.28311253,0.63994396,0.14879294,9.801261,0.28900632,2.497,3.512,18.447,0.022907447,-0.032528574,0.010079277,-0.04917465,185.17198,-88.100395,0.8697404,167.8,0,0,0,0
4.206,0.08,1.38E+14,1.45E+12,36.905403,14.75,-76.30481,-25,0,0.61890113,9.518148,0.92895025,0.4701082,-0.28311253,0.63994396,0.14879294,9.801261,0.28900632,2.819,3.512,18.144,0.022907447,-0.036102136,0.010079277,-0.04917465,185.17198,-88.100395,0.8697404,167.8,0,0,0,0
4.286,0.085,1.38E+14,1.45E+12,36.905403,14.75,-76.30481,-25,0,0.61890113,9.518148,0.92895025,0.4701082,-0.28311253,0.63994396,0.14879294,9.801261,0.28900632,3.182,3.512,16.632,0.022907447,-0.039675698,0.010079277,-0.04917465,185.17198,-88.100395,0.8697404,167.8,0,0,0,0
4.371,0.095,1.38E+14,1.45E+12,36.905403,14.75,-76.30481,-25,0,-0.012569559,9.958682,-0.33638534,-0.17464009,0.15679646,-0.5955676,0.16207053,9.801886,0.25918227,3.182,0.494,14.825,-0.006719518,-0.042730024,-0.03176499,-0.030848695,189.20517,-88.21392,0.9472781,167.8,0,0,0,0
4.466,0.08,1.38E+14,1.45E+12,36.90527,15.25,-76.30477,-26,0,-0.012569559,9.958682,-0.33638534,-0.17464009,0.15679646,-0.5955676,0.16207053,9.801886,0.25918227,3.182,-2.821,16.184,-0.006719518,-0.043692137,-0.03176499,-0.030848695,189.20517,-88.21392,0.9472781,167.7,0,0,0,0
4.546,0.085,1.38E+14,1.45E+12,36.90527,15.25,-76.30477,-26,0,0.42916065,9.443929,-0.6721721,0.2508577,-0.3603649,-0.79220605,0.17830293,9.804294,0.12003391,2.882,0.277,19.532,0.05100725,-0.039614612,-0.06383542,-0.03634648,190.44357,-88.743835,1.0418781,167.7,0,0,0,0
4.631,0.085,1.38E+14,1.45E+12,36.90527,15.25,-76.30477,-26,0,0.42916065,9.443929,-0.6721721,0.2508577,-0.3603649,-0.79220605,0.17830293,9.804294,0.12003391,2.122,0.378,19.091,0.05100725,-0.033933565,-0.06383542,-0.03634648,190.44357,-88.743835,1.0418781,167.7,0,0,0,0
4.716,0.08,1.38E+14,1.45E+12,36.90527,15.25,-76.30477,-26,0,-0.29927522,9.099164,-1.210269,-0.4635137,-0.70593834,-1.2686867,0.16423848,9.805102,0.058417704,1.803,2.012,19.004,0.003359759,-0.032345315,-0.020463986,-0.04153884,185.41223,-88.98201,0.9596322,167.7,0,0,0,0
